,song_name,rhythm_L2,pitch_L2,pitch_der_L2,pitch_med_L2,vib_frame_L2,rhythm_L6_L2,pitch_L6_L2,pitch_der_L6_L2,pitch_med_L6_L2,vib_frame_L6_L2,timbral_dist,pitch_dist,pitch_der_dist,pitch_med_dist,vib_segment_dist,vib_frame_dist,volume_dist,pitch_dynamic_dist,emolina_rhythm_mfcc_dist,emolina_rhythm_pitch_dist,melodiousness,articulation,rhythmic_complexity,rhythm_stability,dissonance,tonality,modality,GT
35,PRAC_2,0.936749383,1.437612335,1.792760066,0.26413716,0.9780187459999999,0.879598421,1.358817324,1.5719103269999999,0.109553605,0.793089423,1.521126501,0.130380313,0.569782916,0.24201025,0.014693926999999999,0.246415644,1.241516975,-0.34595440299999997,0.10427058199999999,0.339203125,6.984365940093994,3.5581250190734863,3.756692409515381,5.056951522827148,3.4899895191192627,7.048442840576172,5.711423397064209,1.2
36,PRAC_1,-0.015772399,1.249065951,0.42894792,0.043096314000000004,0.803710548,-0.052590979,1.25230057,0.326896437,0.006509285,0.6080940189999999,0.22664072899999999,-0.523631019,-1.034844962,0.044238535,0.8801531359999999,0.812330529,-0.8741875709999999,0.019177428,0.47023182399999996,0.18853055,6.783586025238037,3.568615674972534,3.7302768230438232,4.984434604644775,3.6138710975646973,6.927765846252441,5.68211030960083,1.2
37,PRAC_3,1.195434739,0.495059097,0.243089177,-0.21219095899999998,0.519549206,1.12350475,0.49778797700000005,0.18772377,-0.246255096,0.45496899999999996,0.387031526,-0.887343793,0.8232982590000001,0.55154137,0.9058746459999999,0.23934144100000002,-0.9849311759999999,1.6718794,0.018913942,-0.178781479,6.786847114562988,3.4500021934509277,3.8396079540252686,4.8343682289123535,3.5885417461395264,6.963910102844238,5.811982154846191,1.2
38,PRAC_6,1.398847172,1.972591007,1.4386210640000001,0.346175571,0.535777451,1.3260721629999999,1.915275759,1.314995323,0.261932467,0.392992047,1.534515012,0.053602980999999994,0.193343032,0.301341303,0.283235475,-0.180974572,0.000241914,-0.300312924,1.692400046,0.253801827,6.968055725097656,3.702125072479248,3.888279676437378,5.210497856140137,3.4937386512756348,7.119268894195557,5.618945598602295,1.2
39,PRAC_7,0.8064392159999999,0.427968054,-0.356074489,-0.40404372200000005,1.3382903590000002,0.7348327570000001,0.44263571,-0.38102130700000003,-0.409227635,1.35212832,0.274116417,-0.97648266,0.042132629000000005,0.616731754,1.5352656530000002,0.227924085,0.252124201,1.5109331330000002,-0.158748103,0.033784053,6.743868827819824,3.5668349266052246,3.989381790161133,4.950911998748779,3.5949459075927734,6.97452449798584,5.668782711029053,1.2
40,VHEN_3,-0.8536911620000001,-0.11091547800000001,-0.8078018640000001,1.3586313509999999,-0.332338097,-0.886092193,-0.079535593,-0.847495703,1.3709581419999999,-0.437099668,-0.932093128,-1.02337179,0.7947744790000001,1.419222965,1.007861997,-0.15554710800000002,-0.383713132,0.5092227810000001,-0.383929614,-0.424377939,7.0116987228393555,3.132002592086792,3.5680549144744873,4.785140514373779,3.5451998710632324,6.985935211181641,5.856083393096924,3.2
41,VHEN_1,-0.694967535,-0.039601622,-0.584301107,-0.7475867559999999,0.24858074600000002,-0.7263819220000001,-0.034937326,-0.638103249,-0.7923517590000001,0.14920071,-0.29505968,-1.110428027,-1.202445304,-1.010048461,-0.984011138,-0.6118171920000001,-0.07163609,0.30984158300000003,-0.372505784,-0.9688237909999999,7.057257175445557,3.378448486328125,3.738718032836914,5.139545440673828,3.475919723510742,6.992572784423828,5.413784027099609,3.2
42,VHEN_0,-0.104789495,-0.544146429,-0.864836387,-0.956977814,-0.837664407,-0.15019110300000002,-0.543586664,-0.918979522,-0.9960828079999999,-0.9994581229999999,-0.546621028,-1.048068339,-0.628903188,-0.738933095,-1.47907194,-0.925224735,-1.061579422,0.434755104,-0.310408762,-1.083193211,6.5984601974487305,2.9642107486724854,3.5236523151397705,4.5006608963012695,3.6467337608337402,6.776799201965332,5.867103576660156,3.2
43,VHEN_6,-0.663439117,-0.220911334,-1.016341996,-0.9217943590000001,-0.895490992,-0.69715262,-0.223000106,-1.061863226,-0.9583894159999999,-1.0272368170000001,-0.643387057,-1.212529991,-0.575979547,-1.09317951,-0.50483213,-0.962892125,-1.0317696570000001,0.187330245,-0.377907679,-0.937770873,7.097077369689941,3.3331146240234375,3.8646316528320312,5.020263671875,3.5288283824920654,7.0342817306518555,5.548646926879883,3.2
44,VHEN_2,-0.44588131799999997,0.103066327,-0.9627360090000001,-0.368894609,0.43169291200000004,-0.48455704200000005,0.044358983,-1.018277023,-0.44568192700000003,0.282756965,-0.7256075359999999,-1.1842663340000001,-0.30575704,-0.06565755599999999,-0.93741937,-0.484489716,-0.746242792,0.420342006,-0.361663665,-0.834647218,7.108705043792725,3.3841488361358643,3.923234224319458,5.084412574768066,3.5393950939178467,7.081685543060303,5.588383674621582,3.2
