song_name,rhythm_L2,pitch_L2,pitch_der_L2,pitch_med_L2,vib_frame_L2,rhythm_L6_L2,pitch_L6_L2,pitch_der_L6_L2,pitch_med_L6_L2,vib_frame_L6_L2,timbral_dist,pitch_dist,pitch_der_dist,pitch_med_dist,vib_segment_dist,vib_frame_dist,volume_dist,pitch_dynamic_dist,emolina_rhythm_mfcc_dist,emolina_rhythm_pitch_dist,GT
JLEE_1,-0.482392351,-0.794361502,-0.510903131,-0.619695382,-0.454839085,-0.514747982,-0.817402674,-0.559576929,-0.670355554,-0.585571005,0.190648421,1.26307644,-1.031144008,-0.967464063,-1.134762743,-0.585851699,-0.958123145,0.653353766,-0.352544398,0.193450832,3.2
JLEE_7,-0.888740782,-0.794361502,-0.60052178,-0.112450273,0.457168024,-0.928357772,-0.817402674,-0.606727444,-0.025772864,0.589049194,-0.560883218,0.704672839,0.278464972,1.015203554,-0.731322132,-0.524869766,0.31093845,0.271406654,-0.3810102,-0.157236308,3.2
JLEE_4,-0.606288849,-0.794361502,-1.042788094,-0.968768632,-2.191452239,-0.425601935,-0.817402674,-1.002863921,-0.922529477,-2.312260999,-2.601505816,-0.286908733,-2.041504428,-1.229283724,-1.013150732,-1.468708896,-1.019658868,0.252189189,-0.363133507,-1.06525809,3.2
JLEE_0,-0.059750295,-0.794361502,1.100984473,-0.264664711,0.120971964,-0.108837797,-0.817402674,1.096421457,-0.230723609,0.172896462,-0.146716129,0.930806908,1.361258347,0.690684907,-0.249898276,-0.805062378,-0.772273164,-0.975326374,-0.342595115,-0.521413237,3.2
TSIM_6,-0.792675221,-0.087354665,-0.327790295,-0.816878855,-0.869496543,-0.825284751,-0.106359557,-0.382928943,-0.848529214,-1.025638339,-0.197453653,-0.98151675,-0.140007175,-0.287651296,-0.676452592,-0.539502997,-0.630497543,0.398722358,-0.38453513,-0.530489114,3.6
TSIM_3,-0.833942536,-0.62464255,-0.973885431,-0.912550485,-0.349473781,-0.86654042,-0.624404368,-1.013719841,-0.943310882,-0.39209414,-0.697977293,-0.847448921,-0.121238051,-0.806701878,-0.180655095,-0.599771465,0.508205295,0.473190034,-0.369387882,-0.993657608,3.6
TSIM_0,-0.755488204,-0.390931598,-0.762764706,-0.806733901,0.033547368,-0.792671201,-0.388692873,-0.816578483,-0.856107702,-0.137423917,-0.314580087,-0.789137081,0.240635936,-0.975350609,-0.651826965,-0.335984016,-0.858575871,0.266602288,-0.371850652,-0.991068053,3.6
TSIM_1,-0.255935659,0.499837649,-0.04127471,-0.288953162,1.540404271,-0.287192635,0.581402029,-0.030556192,-0.333722914,1.653200093,-0.595149373,-0.945833979,-0.704667001,-0.897993386,-0.653168154,-0.199522803,-0.879815301,0.168112781,-0.274881355,0.345318342,3.6
TSIM_2,0.044932027,0.29313724,-0.940872333,-0.346653071,0.525413579,0.003058563,0.20787802,-0.992133202,-0.421332538,0.328629927,0.343112807,-0.864310262,0.151998089,-0.110923591,-0.70187728,-0.12246264,-0.510012973,0.228167358,-0.024360502,-0.505771406,3.6
TSIM_5,-0.503085743,1.005794353,0.848519989,-0.42200751,0.83915471,-0.539476502,0.934697119,0.711300612,-0.491458086,0.597094329,-0.937822741,-0.90333059,-0.498523868,-0.78703897,-0.567867247,0.485705952,-0.090799043,0.052807992,-0.295933798,-0.304857327,3.6
TSIM_4,-0.903549671,-0.341146031,-1.104247097,-1.000546359,-1.89227297,-0.828130047,-0.164143588,-1.100507223,-0.979741348,-1.916803848,-2.716527747,-1.151870128,-2.053664705,-1.134203579,-0.979979097,-0.976053475,-1.055770525,0.10565602,-0.377556355,-1.097731605,3.6
TSIM_7,-0.330455979,0.441103956,-1.047718784,-0.990279905,0.551591371,-0.376385449,0.506609333,-1.086473459,-1.019470505,0.581317983,-0.754698343,-0.886068836,-0.679289032,-0.944912273,-1.08045513,-1.051980375,0.908486085,0.396320175,-0.365427388,-1.099565223,3.6
PRAC_4,0.286090113,0.506183836,-0.937096025,-0.430735645,-1.382272314,0.759644895,0.935427563,-0.88194863,-0.210884172,-1.105089067,-2.088633166,-1.200462652,-1.528129248,-0.599184213,0.24561007,-0.302730309,-1.686900103,1.342780316,-0.219299906,-0.700888589,1.2
PRAC_5,1.541999116,2.024424547,0.44915694,0.390774901,0.731855426,1.413750597,1.956461525,0.355415583,0.298037246,0.590111418,0.858215917,-0.760599223,0.394886408,0.041006474,1.790172787,1.807599607,-0.397553862,-1.083424614,1.154195276,0.167268146,1.2
PRAC_0,1.35631215,0.504255041,2.287963253,0.042712781,0.051384302,1.280464555,0.446103007,2.095088876,-0.039726208,-0.095508672,0.338277427,-1.086889009,1.471758257,0.551265452,0.2531972,-0.153820203,-0.76881436,0.771060738,0.042028175,-0.872114504,1.2
PRAC_2,0.936749383,1.437612335,1.792760066,0.26413716,0.978018746,0.879598421,1.358817324,1.571910327,0.109553605,0.793089423,1.521126501,0.130380313,0.569782916,0.24201025,0.014693927,0.246415644,1.241516975,-0.345954403,0.104270582,0.339203125,1.2
PRAC_1,-0.015772399,1.249065951,0.42894792,0.043096314,0.803710548,-0.052590979,1.25230057,0.326896437,0.006509285,0.608094019,0.226640729,-0.523631019,-1.034844962,0.044238535,0.880153136,0.812330529,-0.874187571,0.019177428,0.470231824,0.18853055,1.2
PRAC_3,1.195434739,0.495059097,0.243089177,-0.212190959,0.519549206,1.12350475,0.497787977,0.18772377,-0.246255096,0.454969,0.387031526,-0.887343793,0.823298259,0.55154137,0.905874646,0.239341441,-0.984931176,1.6718794,0.018913942,-0.178781479,1.2
PRAC_6,1.398847172,1.972591007,1.438621064,0.346175571,0.535777451,1.326072163,1.915275759,1.314995323,0.261932467,0.392992047,1.534515012,0.053602981,0.193343032,0.301341303,0.283235475,-0.180974572,0.000241914,-0.300312924,1.692400046,0.253801827,1.2
PRAC_7,0.806439216,0.427968054,-0.356074489,-0.404043722,1.338290359,0.734832757,0.44263571,-0.381021307,-0.409227635,1.35212832,0.274116417,-0.97648266,0.042132629,0.616731754,1.535265653,0.227924085,0.252124201,1.510933133,-0.158748103,0.033784053,1.2
VHEN_3,-0.853691162,-0.110915478,-0.807801864,1.358631351,-0.332338097,-0.886092193,-0.079535593,-0.847495703,1.370958142,-0.437099668,-0.932093128,-1.02337179,0.794774479,1.419222965,1.007861997,-0.155547108,-0.383713132,0.509222781,-0.383929614,-0.424377939,3.2
VHEN_1,-0.694967535,-0.039601622,-0.584301107,-0.747586756,0.248580746,-0.726381922,-0.034937326,-0.638103249,-0.792351759,0.14920071,-0.29505968,-1.110428027,-1.202445304,-1.010048461,-0.984011138,-0.611817192,-0.07163609,0.309841583,-0.372505784,-0.968823791,3.2
VHEN_0,-0.104789495,-0.544146429,-0.864836387,-0.956977814,-0.837664407,-0.150191103,-0.543586664,-0.918979522,-0.996082808,-0.999458123,-0.546621028,-1.048068339,-0.628903188,-0.738933095,-1.47907194,-0.925224735,-1.061579422,0.434755104,-0.310408762,-1.083193211,3.2
